DC_red,AC_red,(AC/DC)_red,DC_ir,AC_ir,(AC/DC)_ir,SpO2
88.8635529,0.130604568,0.00146972,120.1000503,0.236555816,0.001969656,95.76209266
88.85988073,0.125692592,0.001414503,120.0795918,0.241990422,0.00201525,95.86257728
88.8717023,0.123838422,0.001393452,120.0722106,0.24115644,0.002008428,95.96305398
88.87546188,0.122907826,0.001382922,120.0491453,0.228568196,0.001903955,96.06348204
88.90100802,0.125495675,0.001411634,120.0543076,0.246357801,0.002052053,96.1638869
88.90898267,0.134281095,0.001510321,120.043611,0.252445013,0.002102944,96.17461077
88.90090159,0.132900881,0.001494933,120.0264273,0.246736737,0.002055687,96.17464524
88.89447825,0.145812297,0.001640285,120.0098455,0.253514322,0.002112446,96.08487043
107.7968841,0.155610945,0.001443557,145.4540518,0.263140289,0.001809096,97.18047016
107.6982377,0.144263451,0.001339515,145.3035213,0.241658597,0.00166313,97.18039636
107.6549505,0.140319176,0.001303416,145.1732301,0.255826365,0.001762214,97.18042433
107.6216349,0.145325148,0.001350334,145.0910183,0.254810645,0.001756212,97.18052293
107.576077,0.158507481,0.001473445,144.9549746,0.263141396,0.001815332,97.18054178
107.5594024,0.147015819,0.001366834,144.8837041,0.253677587,0.001750905,97.18055465
107.5315254,0.144741422,0.001346037,144.7817697,0.259588892,0.001792967,97.18060877
107.5269728,0.133575707,0.001242253,144.7237922,0.247813897,0.001712323,97.1806176
107.5139655,0.131467018,0.00122279,144.6764467,0.243661395,0.001684182,97.18060737
107.5023468,0.134056115,0.001247006,144.6314519,0.251831796,0.001741197,97.18054464
107.5060245,0.135340517,0.001258911,144.5907164,0.252350056,0.001745271,97.18055941
107.4880186,0.131891786,0.001227037,144.5604949,0.257995286,0.001784687,97.1806494
107.4851109,0.134871354,0.001254791,144.5503041,0.263230141,0.001821028,97.18063542
107.4815763,0.131085505,0.001219609,144.5469152,0.273502932,0.00189214,97.18056864
107.4703723,0.117165457,0.001090212,144.5460086,0.257507301,0.00178149,97.18054453
107.4466396,0.128229814,0.001193428,144.5325286,0.251502157,0.001740108,97.180558
107.3934617,0.132392342,0.001232778,144.5005327,0.255399319,0.001767463,97.18054807
107.3414305,0.140839954,0.001312074,144.458775,0.264120716,0.001828347,97.18054127
107.2557204,0.140178241,0.001306954,144.3828028,0.260089182,0.001801386,97.18053377
107.1875835,0.145141505,0.001354089,144.3250836,0.267425892,0.001852941,97.18054118
107.1396261,0.150366321,0.001403461,144.2789349,0.274610879,0.001903333,97.18057564
107.0879075,0.156223289,0.001458832,144.2263841,0.278266015,0.00192937,97.18057505
106.9782517,0.151521728,0.001416379,144.1062413,0.259433821,0.001800296,97.18060971
106.9186972,0.153880928,0.001439233,144.0315446,0.26143162,0.0018151,97.18063057
