DC_red,AC_red,DC_ir,AC_ir,(AC/DC)_red,(AC/DC)_ir,RR,SpO2
89.12186072,0.108910424,121.6786163,0.227535836,0.001222039,0.001869974,0.653506123,95.38220119
89.06210316,0.108682086,121.619987,0.222788199,0.001220296,0.001831839,0.666158828,95.28177343
89.02804889,0.101407438,121.5887833,0.213199064,0.00113905,0.001753444,0.649607715,95.09194407
88.99048767,0.108653525,121.5369507,0.219257299,0.001220957,0.001804038,0.676790897,94.98040703
88.95131285,0.11087389,121.4884291,0.212972412,0.001246456,0.001753026,0.711030923,94.87996167
88.92558625,0.110942277,121.4727076,0.212259651,0.001247586,0.001747386,0.713972697,94.77947648
88.8876757,0.106730693,121.4628508,0.205413009,0.001200737,0.001691159,0.710008103,94.67901988
88.83108709,0.110135461,121.427069,0.208882011,0.00123983,0.001720226,0.720736756,94.48913862
88.81660802,0.102177064,121.4108877,0.192655021,0.001150427,0.001586802,0.724997548,94.2882578
88.76131416,0.097639092,121.4005626,0.192442734,0.001100019,0.001585188,0.693935634,94.08732417
88.73566043,0.102957775,121.3928867,0.194431107,0.001160275,0.001601668,0.724416698,93.88641356
88.67331828,0.103699716,121.4059832,0.189213781,0.001169458,0.001558521,0.7503639,93.68553649
88.58530827,0.098532836,121.3781842,0.167348908,0.001112293,0.00137874,0.806746394,93.57405331
88.53370486,0.118054689,121.2507451,0.179076215,0.001333443,0.001476908,0.902861452,93.38405233
88.50582669,0.13132284,121.1907533,0.179900802,0.001483776,0.001484443,0.99955061,93.18309751
88.44383609,0.138124043,121.1044404,0.188275485,0.001561715,0.001554654,1.004541773,92.98219511
88.39436308,0.150394755,121.0449645,0.215000063,0.001701407,0.0017762,0.957891365,92.78128255
88.36945668,0.156574365,121.0118507,0.208576953,0.001771815,0.001723608,1.027969096,92.66977224
88.37734063,0.167572186,120.9686979,0.234362887,0.001896099,0.001937385,0.978690046,92.47969892
88.37787266,0.167362226,120.942334,0.234904606,0.001893712,0.001942286,0.974991241,92.27872161
88.40937022,0.165922499,120.9457065,0.240335905,0.001876752,0.001987139,0.944449587,92.16731124
88.39729588,0.174598309,120.9068439,0.244674058,0.001975154,0.002023658,0.976031903,92.06678995
88.44094994,0.185047699,120.9533457,0.271216489,0.002092331,0.002242323,0.933108373,91.96629047
88.53336862,0.1548073,121.0536025,0.241725997,0.001748576,0.001996851,0.87566664,92.04490599
88.57204817,0.140863392,121.0958803,0.238587001,0.001590382,0.001970232,0.807205374,92.14540083
88.60546836,0.135359671,121.1496534,0.218495803,0.001527667,0.00180352,0.847047648,92.24587112
88.64086415,0.136879657,121.1506462,0.214070237,0.001544205,0.001766976,0.873925422,92.43589164
88.69086448,0.138576079,121.09386,0.22327863,0.001562462,0.001843848,0.847391971,92.63681067
88.71231806,0.136264557,121.053562,0.221935222,0.001536027,0.001833364,0.837819227,92.92731287
